#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
116,"Zombie","The Cranberries",79,167,"","No Need To Argue (The Complete Sessions 1994-1995)",1994-10-03,05:06,31,65,2,1,31,0,30,-9,G Major,4,2023-01-03,7EZC6E7UjZe63f1jRmkWxt,"undefined",9B,USIR29400443
117,"Genie In a Bottle","Christina Aguilera",75,176,"","Christina Aguilera (Expanded Edition)",1999-00-00,03:37,63,80,21,0,91,10,10,-7,C♯/D♭ Major,4,2022-11-30,11mwFrKvLXCbcVGNxffGyP,"undefined",3B,USRC19900032
118,"I Wanna Be Yours","Arctic Monkeys",87,68,"indie, garage rock","AM",2013-09-09,03:03,46,42,14,2,48,0,10,-9,C Minor,4,2023-01-04,5XeFesFbtLpXzIVDNQP22n,"undefined",5A,GBCEL1300373
119,"Voulez-Vous","ABBA",67,127,"","Voulez-Vous",1979-00-00,05:09,71,77,15,0,90,0,10,-7,B Minor,4,2022-11-30,17OqI90oTFZ3J8PVu6j07V,"undefined",10A,SEAYD7901020
120,"November Rain","Guns N' Roses",76,80,"rock, glam metal, hard rock, rock clasic","Use Your Illusion I",1991-09-17,08:56,29,64,2,22,23,0,10,-9,B Major,4,2023-01-03,3YRCqOhFifThpSRFJ1VWFM,"undefined",1B,USGF19141510
121,"The Show Must Go On","Queen",57,84,"rock clasic, rock, glam rock","Bohemian Rhapsody (The Original Soundtrack)",2018-10-19,04:31,43,68,43,0,7,0,10,-7,B Minor,4,2022-11-30,5WZDLZVCvY1rEyNir6k8Pg,"undefined",10A,GBUM71106221
122,"Sarà perché ti amo","Ricchi E Poveri",65,120,"dance din Italia, disco din Italia","The Collection",1998-00-00,03:10,84,75,12,0,96,0,0,-8,E Major,4,2023-03-28,7037bX3jdaUWUAXL12CHGy,"undefined",12B,USBI10000112
123,"Have You Ever Seen The Rain","Creedence Clearwater Revival",80,116,"rock clasic, rock din sud, country rock","Pendulum (Expanded Edition)",1970-12-07,02:40,74,70,7,0,77,0,10,-7,C Major,4,2023-04-03,2LawezPeJhN4AWuSB0GtAU,"undefined",8B,USC4R0817643
124,"I Follow Rivers","Lykke Li,The Magician",48,122,"","All 10s Hits",2021-03-26,04:39,79,70,2,0,30,0,0,-6,A Minor,4,2023-04-05,5buaEVRCGzrhj3ld9iRrZj,"undefined",8A,SEVUM1100103
125,"Imagination","Gorgon City,Katy Menditta",46,122,"house, ","Sirens (Deluxe)",2014-01-01,03:37,68,70,3,0,40,0,30,-8,C Minor,4,2023-04-05,4QVUWECCW3WPs4jZOYOYTQ,"undefined",5A,GBUM71404031
