#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
195,"The Best","Tina Turner",68,104,"","Foreign Affair",1989-09-13,05:29,66,74,11,2,74,0,10,-10,C Major,4,2024-01-02,6pPWRBubXOBAHnjl5ZIujB,"undefined",8B,USCA28900109
196,"Rehab","Amy Winehouse",69,72,"","Back To Black (Deluxe Edition)",2006-00-00,03:34,41,56,5,0,78,0,30,-14,C Major,4,2024-01-02,3N4DI1vuTSX1tz7fa2NQZw,"undefined",8B,GBUM70603730
197,"Friday I'm In Love","The Cure",41,136,"new wave, post-punk, dark wave","Greatest Hits",2001-01-01,03:34,55,95,0,0,46,0,30,-4,G Minor,4,2024-01-02,0lxt6J01WBpovNFVF87Yqa,"undefined",6A,GBALB9200002
198,"You Know I'm No Good","Amy Winehouse",71,103,"","Back To Black (Deluxe Edition)",2006-00-00,04:17,69,50,1,0,80,0,0,-14,A Major,4,2024-02-08,0DMRKqrpd0QO4RWiEdMib0,"undefined",11B,GBUM70603488
199,"One Last Time","LP",38,112,"","Churches",2021-12-03,03:13,53,76,10,0,43,0,10,-8,G#/A♭ Minor,4,2024-03-02,3Yr7P9agDOwYOWjJVHd5oi,"undefined",1A,QM24S2101051
200,"Churches","LP",19,103,"","Churches",2021-12-03,03:13,48,28,70,0,30,0,10,-10,C Minor,4,2024-03-02,0ab9FImfiF2IpTlW8yU0zV,"undefined",5A,QM24S2103527
201,"Shaken","LP",44,152,"","Heart to Mouth",2018-12-07,03:45,65,83,6,0,56,10,10,-4,G Minor,4,2024-03-02,4YIJ4utbwfduN8zlIDD7PV,"undefined",6A,QMRSZ1802047
202,"Dreamcatcher","LP",27,80,"","Heart to Mouth",2018-12-07,03:15,45,67,7,0,22,0,20,-8,A Minor,4,2024-03-02,3wtM7otNDdtLzI33aQ51Td,"undefined",8A,QMRSZ1802039
203,"One Like You","LP",46,118,"","Love Lines",2023-09-29,03:41,67,64,11,1,59,0,10,-8,C♯/D♭ Major,4,2024-03-02,4AKxFYKasB3lbakwXLkQWy,"undefined",3B,QMRSZ2300575
204,"Rasputin","Boney M.",64,126,"disco","Daddy Cool",1994-03-14,03:40,69,75,46,0,97,0,60,-11,F#/G♭ Minor,4,2024-03-02,5lWSa1rmuSL6OBPOnkAqoa,"undefined",11A,DED160000010
205,"Bosquito","Bosquito",33,108,"manele","Bosquito",2000-01-01,03:17,65,66,22,0,54,0,10,-7,C♯/D♭ Minor,4,2024-03-02,51qKCaUkJjok85o9qBBt2I,"undefined",12A,ROCRP1001860
206,"Intuneric in culori","Bosquito",34,141,"manele","Babylon",2014-00-00,03:59,71,83,57,0,66,0,0,-5,A#/B♭ Minor,4,2024-03-02,3LEpJtfpt9X8zfbLMJWg4z,"undefined",3A,ROROT1208601
207,"Oops!...I Did It Again","Britney Spears",76,95,"pop","Oops!... I Did It Again",2000-05-16,03:31,75,83,30,0,89,0,30,-5,C♯/D♭ Minor,4,2024-03-02,6naxalmIoLFWR0siv8dnQQ,"undefined",12A,USJI10000100
208,"Cigarette Daydreams","Cage The Elephant",76,114,"rock modern","Melophobia",2013-10-08,03:28,64,68,8,0,27,0,0,-3,D Major,4,2024-03-02,2tznHmp70DxMyr2XhWLOW0,"undefined",10B,USRC11301169
209,"Promises (with Sam Smith)","Calvin Harris,Sam Smith",0,123,"EDM, soft pop","Love Goes",2020-10-30,03:33,78,77,1,0,49,0,30,-6,B Major,4,2024-03-02,7292H279xDh84LDo5BePPi,"undefined",1B,GBARL1801049
210,"Viva La Vida","Coldplay",83,138,"","Viva La Vida or Death and All His Friends",2008-06-06,04:02,49,62,10,0,42,0,10,-7,F Minor,4,2024-03-02,1mea3bSkSGXuIRvnydlB5b,"undefined",4A,GBAYE0800265
211,"No Face No Name No Number","Modern Talking",41,118,"disco din Italia, europop, eurodance","25 Years Of Disco-Pop",2010-01-25,03:58,74,95,23,0,79,0,0,-5,C Major,4,2024-03-02,5sme4UZhtlNUjwmFgFkyfi,"undefined",8B,DEC739900900
212,"Emperor's New Clothes","Panic! At The Disco",62,94,"emo","Death of a Bachelor",2016-01-15,02:38,56,90,0,0,65,0,0,-5,C♯/D♭ Major,4,2024-03-02,3px2rAPu74ltbkf9eZsZ8h,"undefined",3B,USAT21503476
214,"High Hopes","Panic! At The Disco",75,82,"emo","Pray for the Wicked",2018-06-22,03:10,58,90,19,0,68,0,0,-3,F Major,4,2024-03-02,1rqqCSm0Qe4I9rUvWncaom,"undefined",7B,USAT21801174
215,"Collar Full","Panic! At The Disco",48,170,"emo","Too Weird to Live, Too Rare to Die!",2013-10-04,03:18,53,94,0,0,62,0,0,-5,D Major,4,2024-03-02,1zN3CZlafjfEiMR9uXQGrW,"undefined",10B,USAT21302387
216,"Hit the Road Jack","Ray Charles",66,173,"jazz blues, soul, soul blues, blues, jazz vocal","True Genius",2021-09-10,01:59,60,57,70,0,96,10,50,-13,G#/A♭ Minor,4,2024-03-02,5dUMh0ugelpKfoFp3qChuK,"undefined",1A,QZR8K2111005
217,"Call Me","Blondie",69,143,"","Atomic/Atomix",1999-01-01,03:32,56,82,0,0,74,0,0,-7,D Minor,4,2024-03-02,4qO03RMQm88DdpTJcxlglY,"undefined",7A,USCH38900008
218,"Maniac - From  Flashdance ","Michael Sembello",57,158,"","ドライブが楽しくなる洋楽ヒッツ！80年代 DANCE",2023-07-01,04:06,61,76,4,0,83,0,0,-6,D#/E♭ Minor,4,2024-03-02,0Q6mJSyGsUmg9WXgOcOf7A,"undefined",2A,USPR38302462
219,"Too Sweet","Hozier",74,117,"","Unheard",2024-03-22,04:11,74,62,3,0,93,0,0,-6,A#/B♭ Major,4,2024-04-05,3HMY0r2BAdpasXMY8rseR0,"undefined",6B,IEACJ2300335
